"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
,World,"552,797,007","+150,425","6,358,276",+303,"528,021,770","+170,519","18,416,961","36,813","70,919",815.7,,
1,USA,"89,360,080",,"1,042,678 ",,"84,916,391",,"3,401,011","3,333","266,853","3,114","1,051,356,478","3,139,630"
2,India,"43,471,282",,"525,139 ",,"42,836,906",,"109,237",698,"30,896",373,"862,877,639","613,269"
3,Brazil,"32,358,451",,"671,466 ",,"30,846,850",,"840,135","8,318","150,108","3,115","63,776,166","295,853"
4,France,"31,083,859",,"149,533  ",,"29,620,989",,"1,313,337",869,"474,121","2,281","271,490,188","4,141,032"
5,Germany,"28,293,960",,"141,189 ",,"26,702,200",,"1,450,571",934,"335,566","1,674","122,332,384","1,450,859"
6,UK,"22,720,345",,"180,330 ",,"22,145,429",,"394,586",146,"331,220","2,629","522,526,476","7,617,463"
7,Italy,"18,523,111",,"168,353 ",,"17,469,969",,"884,789",261,"307,260","2,793","226,896,830","3,763,743"
8,Russia,"18,433,394","+3,155","381,165 ",+53,"17,861,605","+3,388","190,624","2,300","126,205","2,610","273,400,000","1,871,846"
9,S. Korea,"18,368,857","+9,516","24,555 ",+8,"18,204,741","+3,818","139,561",56,"357,670",478,"15,804,065","307,730"
10,Turkey,"15,123,331",,"99,032 ",,"15,005,249",,"19,050",975,"175,555","1,150","162,743,369","1,889,164"
11,Spain,"12,734,038",,"107,906 ",,"12,218,358",,"407,774",339,"272,148","2,306","471,036,328","10,066,853"
12,Vietnam,"10,746,470",,"43,087 ",,"9,681,318",,"1,022,065",24,"108,460",435,"85,826,548","866,217"
13,Argentina,"9,367,172",,"129,070 ",,"9,163,334","+5,262","74,768",344,"203,540","2,805","35,716,069","776,076"
14,Japan,"9,329,520","+23,522","31,281 ",+15,"9,135,363","+12,351","162,876",52,"74,217",249,"56,643,966","450,607"
15,Netherlands,"8,184,179",,"22,378 ",,"8,063,483",,"98,318",50,"475,539","1,300","21,107,399","1,226,437"
16,Australia,"8,162,153","+34,927","9,930 ",+33,"7,905,095","+38,259","247,128",106,"312,859",381,"74,036,754","2,837,866"
17,Iran,"7,238,126",,"141,389 ",,"7,062,657",,"34,080",176,"84,034","1,642","52,298,398","607,181"
18,Colombia,"6,175,181",,"140,070 ",,"5,984,546",,"50,565",342,"118,839","2,696","35,539,516","683,945"
19,Indonesia,"6,088,460",,"156,737 ",,"5,914,933",,"16,790","2,771","21,800",561,"100,820,965","361,001"
20,Mexico,"6,034,602","+24,537","325,716 ",+47,"5,192,957","+8,109","515,929","4,798","45,845","2,474","16,561,167","125,817"
21,Poland,"6,014,992",,"116,424 ",,"5,335,665",,"562,903",408,"159,278","3,083","36,475,706","965,883"
22,Portugal,"5,171,236",,"24,149 ",,"4,745,321",,"401,766",61,"510,107","2,382","43,527,258","4,293,669"
23,Ukraine,"5,017,038",,"108,638 ",,"4,906,519",+76,"1,881",177,"116,106","2,514","19,521,252","451,766"
24,DPRK,"4,744,430","+4,570",73 ,,"4,736,220","+5,690","8,137",,"182,452",3,,
25,Malaysia,"4,566,055",,"35,765 ",,"4,500,856",,"29,434",43,"137,567","1,078","61,012,963","1,838,209"
26,Thailand,"4,525,269","+2,354","30,667 ",+16,"4,470,490","+2,154","24,112","1,496","64,510",437,"17,270,775","246,203"
27,Austria,"4,428,459",,"18,787 ",,"4,308,472",,"101,200",41,"486,179","2,063","190,517,002","20,915,956"
28,Israel,"4,344,800",,"10,958 ",,"4,259,884",,"73,958",311,"465,880","1,175","41,373,364","4,436,346"
29,Belgium,"4,225,222",,"31,903 ",,"4,122,858","+2,203","70,461",57,"361,438","2,729","34,415,556","2,944,011"
30,South Africa,"3,993,843",,"101,793 ",,"3,880,462",,"11,588",192,"65,691","1,674","25,731,148","423,228"
31,Chile,"3,990,693",,"58,479 ",,"3,644,462",,"287,752",179,"205,252","3,008","40,465,600","2,081,258"
32,Canada,"3,946,087",,"42,010 ",,"3,562,119",,"341,958",195,"102,760","1,094","62,586,673","1,629,823"
33,Czechia,"3,933,758","+1,011","40,318 ",+2,"3,887,247",+851,"6,193",7,"365,981","3,751","55,541,344","5,167,346"
34,Taiwan,"3,803,049","+35,800","6,772 ",+121,"2,834,955","+79,455","961,322",,"159,106",283,"21,081,295","881,968"
35,Switzerland,"3,741,859",,"13,984 ",,"3,644,405","+1,773","83,470",49,"426,150","1,593","21,360,334","2,432,669"
36,Philippines,"3,704,407",,"60,555 ",,"3,635,981",,"7,871",444,"32,933",538,"30,781,315","273,649"
37,Greece,"3,676,502",,"30,232 ",,"3,509,205",,"137,065",97,"356,190","2,929","85,373,344","8,271,208"
38,Peru,"3,625,091",,"213,497 ",,"3,382,880",,"28,714",139,"106,978","6,300","31,496,007","929,464"
39,Denmark,"3,014,594",,"6,469 ",,"2,989,249",,"18,876",12,"516,835","1,109","127,672,584","21,888,719"
40,Romania,"2,919,461",,"65,739 ",,"2,847,139",,"6,583",58,"153,799","3,463","23,470,942","1,236,461"
41,Sweden,"2,519,199",,"19,091 ",,"2,489,990",,"10,118",13,"246,386","1,867","18,669,741","1,825,959"
42,Iraq,"2,348,662",,"25,241 ",,"2,308,759",,"14,662",16,"55,895",601,"18,773,762","446,790"
43,Serbia,"2,029,403",,"16,126 ",,"2,004,213",,"9,064",10,"234,144","1,861","9,905,483","1,142,852"
44,Bangladesh,"1,973,789",,"29,145 ",,"1,907,509",,"37,135","1,249","11,752",174,"14,347,985","85,427"
45,Hungary,"1,928,125",,"46,647 ",,"1,871,930",,"9,548",5,"200,605","4,853","11,394,556","1,185,508"
46,Slovakia,"1,796,554",+537,"20,147 ",,"1,771,840",+170,"4,567",5,"328,744","3,687","7,178,099","1,313,490"
47,Jordan,"1,698,316",,"14,068 ",,"1,683,746",,502,124,"163,225","1,352","16,858,371","1,620,253"
48,Georgia,"1,659,371",,"16,839 ",,"1,637,293",,"5,239",,"417,564","4,237","16,920,079","4,257,771"
49,Ireland,"1,600,614",,"7,467 ",,"1,555,115",,"38,032",33,"317,105","1,479","12,391,502","2,454,935"
50,Pakistan,"1,536,479",+694,"30,395 ",,"1,499,641",,"6,443",101,"6,697",132,"29,010,676","126,446"
51,Norway,"1,447,270",,"3,337 ",,"1,434,430",,"9,503",20,"262,871",606,"11,002,430","1,998,397"
52,Singapore,"1,444,068",,"1,413 ",,"1,341,030",,"101,625",7,"243,030",238,"24,098,157","4,055,608"
53,New Zealand,"1,345,796","+7,295","1,473 ",+7,"1,298,282","+5,015","46,041",,"269,046",294,"7,288,645","1,457,117"
54,Kazakhstan,"1,306,608",,"13,663 ",,"1,292,365",,580,24,"67,968",711,"11,575,012","602,118"
55,Hong Kong,"1,245,797",,"9,401 ",,"1,201,686",,"34,710",2,"163,532","1,234","50,415,048","6,617,832"
56,Morocco,"1,216,909",,"16,109 ",,"1,175,362",,"25,438",293,"32,209",426,"11,933,555","315,857"
57,Bulgaria,"1,172,239",,"37,255 ",,"1,075,191",,"59,793",29,"171,270","5,443","10,106,885","1,476,669"
58,Croatia,"1,148,528",,"16,065 ",,"1,127,202",,"5,261",5,"283,245","3,962","4,940,340","1,218,364"
59,Finland,"1,145,610",,"4,875 ",,"1,100,336",,"40,399",21,"206,125",877,"11,073,562","1,992,418"
60,Lebanon,"1,112,199",,"10,465 ",,"1,087,587",,"14,147",186,"164,414","1,547","4,795,578","708,920"
61,Cuba,"1,106,023",,"8,529 ",,"1,097,316",,178,23,"97,767",754,"13,852,049","1,224,452"
62,Lithuania,"1,068,155",+342,"9,174 ",+1,"1,038,300",,"20,681",5,"403,573","3,466","10,009,746","3,781,905"
63,Tunisia,"1,052,180",,"28,691 ",,N/A,N/A,N/A,29,"87,211","2,378","4,674,032","387,410"
64,Slovenia,"1,038,716",,"6,651 ",,"1,023,263",,"8,802",11,"499,501","3,198","2,683,438","1,290,420"
65,Belarus,"982,867",,"6,978 ",,N/A,N/A,N/A,,"104,083",739,"13,220,483","1,400,010"
66,Nepal,"979,694",,"11,952 ",,"967,462",,280,,"32,462",396,"5,756,566","190,741"
67,Uruguay,"957,629",,"7,331 ",,"944,959",,"5,339",18,"273,789","2,096","6,114,822","1,748,244"
